1,Nguyên tắc vay vốn là gì?,"Khách hàng có tài sản đảm bảo khoản vay, hoàn trả vốn và lãi vay đúng hạn như đã thỏa thuận","Khách hàng phải sử dụng vốn đúng mục đích, có tài sản đảm bảo khoản vay như đã thỏa thuận","Khách hàng vay vốn cam kết chấp hành đúng các thỏa thuận với Agribank, phải đảm bảo sử dụng vốn vay đúng mục đích đã cam kết, hoàn trả nợ gốc, lãi tiền vay, phí đầy đủ đúng hạn theo thỏa thuận cho vay",Tất cả đáp án trên.,3,"Khoản 2 Điều 4 QC 579/QC-HĐTV-TD sửa đổi, bổ sung QC 656/QC-HĐTV-TD"
2,Cho vay theo hạn mức dự phòng là gì?,Agribank xác định và thỏa thuận với khách hàng mức dư nợ cho vay tối đa được duy trì trong một khoảng thời gian nhất định.,Agribank chấp thuận cho khách hàng chi vượt số tiền có trên tài khoản thanh toán của khách hàng.,Agribank cam kết đảm bảo sẵn sàng cho khách hàng vay vốn trong phạm vi hạn mức cho vay dự phòng đã thỏa thuận và thời hạn hiệu lực của hạn mức cho vay dự phòng không vượt quá 12 tháng,Agribank và khách hàng thỏa thuận áp dụng cho vay đối với nhu cầu vốn có chu kỳ hoạt động kinh doanh không quá 09 tháng.,3,Khoản 5 Điều 31 QC 656/QC-HĐTV-TD
3,"Cho vay phục vụ nhu cầu đời sống, Agribank nơi cho vay có thể thỏa thuận với khách hàng về việc áp dụng từng phương thức hoặc kết hợp các phương thức cho vay nào?",Cho vay từng lần; Cho vay theo hạn mức; Cho vay lưu vụ.,Cho vay từng lần; Cho vay theo hạn mức; Cho vay theo hạn mức thấu chi trên tài khoản thanh toán,Cho vay từng lần; Cho vay theo hạn mức dự phòng; Cho vay quay vòng.,Cho vay từng lần; Cho vay theo hạn mức; Cho vay theo hạn mức dự phòng.,2,Khoản 2 Điều 32 QC 656/QC-HĐTV-TD
4,Khách hàng phải đáp ứng điều kiện nào sau đây để được vay vốn tại Agribank?,Có năng lực pháp luật dân sự và năng lực hành vi dân sự theo quy định.,"Nhu cầu vay vốn để sử dụng vào mục đích hợp pháp, không thuộc đối tượng không được cho vay theo quy định của Agribank từng thời kỳ.",Phương án sử dụng vốn khả thi (không bắt buộc đối với khoản cho vay có mức giá trị nhỏ); Có khả năng tài chính để trả nợ.,Tất cả đáp án trên,4,"Khoản 1, 2, 3, 4 Điều 19 QC 656/QC-HĐTV-TD"
5,"Đối với cho vay phục vụ nhu cầu đời sống, phương án sử dụng vốn của khách hàng phải có thông tin nào?  ","Tổng nguồn vốn cần sử dụng, chi tiết các loại nguồn vốn trong tổng nguồn vốn cần sử dụng, trong đó có nguồn vốn cần vay tại Agribank;",Mục đích sử dụng và thời gian sử dụng vốn.,Nguồn trả nợ của khách hàng.,Tất cả đáp án trên,4,"Điểm a, b Khoản 3 Điều 19 QC 656/QC-HĐTV-TD"
6,Các tiêu chí cơ bản đánh giá khách hàng là pháp nhân có khả năng tài chính để trả nợ là gì?,"Kinh doanh có hiệu quả, năm trước liền kề có lãi, trường hợp năm trước liền kề lỗ và/hoặc có lỗ lũy kế thì phải có phương án khắc phục lỗ khả thi và có khả năng trả nợ đầy đủ, đúng hạn trong thời hạn cam kết.","Không có nợ xấu, nợ đã xử lý rủi ro ở Agribank và các Tổ chức tín dụng khác tại thời điểm thẩm định cho vay, trừ trường hợp thuộc đối tượng chính sách theo quy định của cấp có thẩm quyền được tiếp tục cho vay.","Cả 1, 2; có vốn đối ứng tham gia vào phương án sử dụng vốn theo quy định",Cả 1 và 2 đều đúng.,3,"Điểm a, b, c Khoản 4 Điều 19 QC 656/QC-HĐTV-TD"
7,"Điền vào chỗ trống:Trường hợp khách hàng đáp ứng đủ các tiêu chí đánh giá có tình hình tài chính minh bạch, lành mạnh thì Khách hàng được xem xét vay vốn đối với nhu cầu cho vay.............bằng đồng Việt Nam không vượt quá mức lãi suất cho vay tối đa do Thống đốc Ngân hàng Nhà nước quy định?",Ngắn hạn,Trung hạn.,Dài hạn.,Tất cả đáp án trên.,1,"Khoản 4 Điều 57QC 656/QC-HĐTV-TD"
8,Nhu cầu vay vốn nào dưới đây được Agribank xem xét cấp tín dụng?,Mua vàng miếng.,Kinh doanh pháo nổ.,"Để thanh toán lãi tiền vay phát sinh trong quá trình thi công xây dựng công trình, mà chi phí lãi tiền vay được tính trong Tổng mức đầu tư xây dựng được cấp có thẩm quyền phê duyệt theo quy định của pháp luật",Tất cả đáp án trên.,3,Khoản 5 Điều 20 QC 656/QC-HĐTV-TD
9,Agribank xem xét cấp tín dụng cho khách hàng để trả khoản vay tại chính Agribank trong trường hợp nào?,Không có trường hợp nào.,Tổng Giám đốc được quyền quyết định cho vay.,"Cho vay để thanh toán lãi vay phát sinh trong quá trình thi công xây dựng công trình, mà chi phí lãi tiền vay được tính trong tổng mức đầu tư xây dựng được cấp có thẩm quyền phê duyệt theo quy định của Pháp luật",Trong mọi trường hợp.,3,Khoản 5 Điều 20 QC 656/QC-HĐTV-TD
10,Agribank xem xét cho vay đối với khách hàng nào sau đây?,Con trai của Tổng Giám đốc Agribank.,Cháu của Thành viên Hội đồng thành viên Agribank,"Khách hàng được bảo đảm bởi thành viên Hội đồng thành viên, thành viên Ban kiểm soát, Tổng Giám đốc, Phó Tổng Giám đốc Agribank.",Thành viên Ban kiểm soát Agribank.,2,Điều 22 QC 656/QC-HĐTV-TD
11,Khách hàng vay vốn của Agribank không bao gồm đối tượng nào?,Kế toán trưởng của Agribank.,"Thanh tra viên, kiểm toán viên đang kiểm tra, thanh tra tại Agribank.",Công ty cổ phần chứng khoán Agribank (Agriseco),Công ty Cổ phần bảo hiểm Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (ABIC).,3,Khoản 7 Điều 22 QC 656/QC-HĐTV-TD
12,Căn cứ nào được sử dụng để xác định mức cho vay?,"Chênh lệch giữa tổng nhu cầu vốn của dự án đầu tư, phương án sản xuất kinh doanh và vốn tự có tối thiểu của khách hàng; Giá trị tài sản bảo đảm.","Chênh lệch giữa tổng nhu cầu vốn của dự án đầu tư, phương án sản xuất kinh doanh và vốn tự có tối thiểu; Khả năng hoàn trả nợ của khách hàng; Giá trị Tài sản bảo đảm.",Phương án sử dụng vốn vay; Khả năng tài chính của khách hàng; Giá trị tài sản đảm bảo; Các giới hạn cấp tín dụng và khả năng nguồn vốn của Agribank,Phương án sử dụng vốn vay; Khả năng tài chính của khách hàng; Giá trị tài sản bảo đảm.,3,Khoản 1 Điều 21 QC 656/QC-HĐTV-TD
13,Nhận định nào dưới đây không tuân theo quy định hiện hành của Agribank về mức cho vay tối đa để thực hiện phương án kinh doanh?,Cho vay ngắn hạn: mức cho vay tối đa 90% tổng nhu cầu vốn,Cho vay trung hạn: mức cho vay tối đa 75% tổng nhu cầu vốn.,Cho vay dài hạn: mức cho vay tối đa 70% tổng nhu cầu vốn.,Tất cả đáp án trên.,1,Điểm a Khoản 2 Điều 21 QC 656/QC-HĐTV-TD
14,Đâu là một trong những căn cứ để xác định thời hạn cho vay phục vụ hoạt động kinh doanh?,Phương án sử dụng vốn của khách hàng,Khả năng phát mại tài sản bảo đảm.,Nhu cầu của khách hàng về thời hạn vay vốn.,Tất cả đáp án trên.,1,Điểm a Khoản 1 Điều 10 QC 656/QC-HĐTV-TD
15,Phương thức trả nợ gốc và lãi tiền vay đối với khoản vay bị quá hạn thực hiện thứ tự thu nợ như thế nào?,Trả nợ gốc và lãi trong cùng một kỳ hạn.,"Nợ gốc thu trước, nợ lãi tiền vay thu sau","Nợ lãi thu trước, nợ gốc thu sau.","Thu theo tỷ lệ nợ gốc, nợ lãi.",2,Khoản 2 Điều 10 QC 656/QC-HĐTV-TD
16,"Theo quy định của Agribank, bộ hồ sơ vay vốn gồm?","Hồ sơ pháp lý, hồ sơ kinh tế, hồ sơ vay vốn của khách hàng vay ",Hồ sơ pháp lý khách hàng vay; hồ sơ vay vốn; hồ sơ bảo đảm tiền vay.,Hồ sơ vay vốn; hồ sơ kinh tế; hồ sơ bảo đảm tiền vay.,Hồ sơ vay vốn; hồ sơ bảo đảm tiền vay.,1,Khoản 1 Điều 29 QC 656/QC-HĐTV-TD
17,Nội dung nào sau đây là quy định của Agribank về cấp phê duyệt và quyết định cơ cấu lại thời hạn trả nợ?,"Việc cơ cấu lại thời hạn trả nợ được thực hiện trên nguyên tắc người quyết định cơ cấu lại thời hạn trả nợ không là người quyết định cho vay đối với khoản vay đó, trừ khoản vay do Hội đồng thành viên, Tổng Giám đốc phê duyệt.","Chi nhánh loại I quyết định cơ cấu lại thời hạn trả nợ đối với các khoản vay đã phân công cho Giám đốc chi nhánh loại II, Phòng giao dịch thực hiện một, một số khâu thuộc trách nhiệm của Agribank nơi cho vay. ",Cả 1 và 2 đều đúng,Cả 1 và 2 đều sai.,3,"Khoản 3, Khoản 4 Điều 40 QĐ 656/QC-NHNo-TD"
18,Từ ngày 01/7/2024 đến trước ngày 01/01/2026: Tổng mức dư nợ cấp tín dụng đối với một khách hàng không được vượt quá bao nhiêu phần trăm vốn tự có của Agribank?,10%.,14%,15%.,25%.,2,"Điểm a khoản 1 Điều 25 QC 579/QC-HĐTV-TD sửa đổi, bổ sung một số điều QC 656/QC-HĐTV-TD"
19,Người quan hệ khách hàng thực hiện nhiệm vụ nào sau đây?,Ký phê duyệt trên báo cáo đề xuất cho vay.,"Thu thập thông tin, hồ sơ, tài liệu về khách hàng vay vay vốn",Phê duyệt kết quả xếp hạng khách hàng.,Cả 2 & 3 đều đúng.,2,Khoản 2 Điều 45 QC 656/QC-HĐTV-TD
20,"Agribank cấp tín dụng phải có bảo đảm bằng tài sản và không cấp tín dụng với những điều kiện ưu đãi về lãi suất, về mức cấp tín dụng đối với những đối tượng nào?","Tổ chức kiểm toán, kiểm toán viên đang kiểm toán, người ra quyết định thanh tra, thành viên đoàn thanh tra, người giám sát hoạt động thanh tra đang thanh tra tại Agribank.","Các công ty con, công ty liên kết của Agribank.",Kế toán trưởng của Agribank.,Tất cả đáp án trên,4,"Khoản a, b, đ khoản 1 Điều 23 QC 579/QC-HĐTV-TD sửa đổi, bổ sung QC 656/QC-HĐTV-TD"
21,Agribank thỏa thuận với khách hàng về mức cho vay trung hạn thực hiện dự án kinh doanh tối đa bằng bao nhiêu phần trăm tổng nhu cầu vốn?,70%.,75%,80%.,85%.,2,Tiết i Điểm b Khoản 2 Điều 21 QC 656/QC-HĐTV-TD
22,"Đối với nhu cầu vay trung hạn thực hiện dự án phục vụ nhu cầu đời sống, khách hàng phải đáp ứng yêu cầu về vốn đối ứng tối thiểu là bao nhiêu phần trăm tổng nhu cầu vốn?",15%.,20%.,25%,Do Agribank nơi cho vay quyết định,4,Điểm a Khoản 2 Điều 21 QC 656/QC-HĐTV-TD
