V,"Quy định bảo đảm trong hoạt động cấp tín dụng, tổng số 30 câu, trong đó 5 câu bổ sung mới:",,,,,,,
1,Trường hợp tài sản bảo đảm bắt buộc phải mua bảo hiểu thì thời hạn bảo hiểm quy định như nào?,"Bên bảo đảm phải duy trì bảo hiểm tài sản trong suốt thời gian nghĩa vụ được bảo đảm, riêng bảo hiểm công trình trong thời gian xây dựng là khoảng thời gian từ khi bắt đầu đến khi kết thúc xây dựng. Agribank thỏa thuận với Bên bảo đảm/khách hàng, Agribank có quyền (nhưng không có nghĩa vụ) trích tài khoản của Bên bảo đảm/khách hàng để mua bảo hiểm nếu Bên bảo đảm không duy trì mua bảo hiểm.","Bên bảo đảm phải duy trì bảo hiểm tài sản trong suốt thời gian nghĩa vụ được bảo đảm, riêng bảo hiểm công trình trong thời gian xây dựng là khoảng thời gian","Bên bảo đảm/khách hàng, Agribank có quyền (nhưng không có nghĩa vụ) trích tài khoản của Bên bảo đảm/khách hàng để mua bảo hiểm nếu Bên bảo đảm không duy trì mua bảo hiểm","riêng bảo hiểm công trình trong thời gian xây dựng là khoảng thời gian từ khi bắt đầu đến khi kết thúc xây dựng. Agribank thỏa thuận với Bên bảo đảm/khách hàng, Agribank có quyền (nhưng không có nghĩa vụ) trích tài khoản",1,Khoản 4 Điều 4 Quyết định 2929/QyĐ-NHNo-TD,Bổ sung mới
2,Hộ gia đình ông X mang 4 tài sản là quyền sử dụng đất đến để xin thế chấp vay vốn tại Agribank. Tài sản được phép nhận thế chấp được nhận là?,Đất thuê tại khu công nghiệp A thuê đất từ 30/6/2002 thời hạn thuê còn lại đã được trả tiền thuê là 4 năm.,Quyền sử dụng đất và Nhà xưởng gắn liền với đất thuê lại tại khu chế xuất B đã trả tiền thuê đất một lần cho cả thời gian thuê.,Quyền sử dụng đất tại cụm công nghiệp C thuê đất từ 30/6/2002 chưa được cấp Sổ.,Đất thuê tại khu công nghiệp D trả tiền thuê đất hằng năm.,2,Khoản 3 Điều 8 Quy định 2929/QyĐ-NHNo-TD,Rà soát 
3,"Khi nhận tài sản bảo đảm là Nhà chung cư, Agribank bắt buộc mua bảo hiểm gì",Bảo hiểm xây dựng nhà,Bảo hiểu cho người xây dựng nhà,Bảo hiểm cháy nổ,Bảo hiểm cho người ở chung cư,3,,
4,"Khi nhận tài sản bảo đảm là nhà hàng khách sạn có diện tích xây dựng 10.000 m3, Agribank bắt buộc mua bảo hiểm gì",Bảo hiểm cho cán bộ nhà hàng khách sạn,Bảo hiểm cháy nổ,Bảo hiểm máy móc thiết bị,Bảo hiểm cho bảo vệ,2,,
5,Khi nhận tài sản bảo đảm những loại tài sản nào sau đây Agribank phải mua bảo hiểm cháy nổ,"Hàng hóa, vật tư (Nguyên liệu, bán thành phẩm, thành phẩm)","Máy móc, trang thiết bị ",Nhà chung cư,Tất cả các trường hợp trên.,4,,
6,"Khi nhận tài sản bảo đảm là xe ô tô, Agribank yêu cầu chủ xe ô tô mua các loại bảo hiểm nào",Bảo hiểm thân vỏ,Bảo hiểm trách nhiệm dân sự của chủ xe,Bảo hiểm vật chất đối với xe ô tô,Tất cả các trường hợp trên.,4,,
7,Đối với TSGLVĐ nhưng chưa được cấp giấy chứng nhận quyền sở hữu theo khoản 2 Điều 10 Nghị định 21 thì mức cấp tín dụng được quy định như nào,Tối đa bằng 50% giá trị TSBĐ,Tối đa bằng 30% giá trị TSBĐ,Tối đa bằng 40% giá trị TSBĐ,Tối đa bằng 60% giá trị TSBĐ,1,,
8,"Tổ chức được nhà nước giao đất có thu tiền sử dụng đất, cho thuê trả tiền thuê đất một lần cho cả thời gian thuê được thế chấp bằng",Quyền sử dụng đất và tài sản gắn liền với đất,chỉ được thế chấp tài sản gắn liền với đất,chỉ được thế chấp Quyền sử dụng đất,Tất cả các trường hợp trên.,1,,
9,"Tổ chức kinh tế được nhà nước giao đất không thu tiền sử dụng đất; Tổ chức kinh tế, tổ chức sự nghiệp công lập sử dụng đất thuê trả tiền thuê đất hằng năm được thế chấp bằng",Quyền sử dụng đất và tài sản gắn liền với đất,thế chấp tài sản gắn liền với đất,Thế chấp quyền sử dụng đất,Tất cả các trường hợp trên.,2,,
10,"cá nhân sử dụng đất nông nghiệp được Nhà nước giao trong hạn mức; đất được Nhà nước giao có thu tiền sử dụng đất, cho thuê đất trả tiền thuê đất một lần cho cả thời gian thuê, được Nhà nước công nhận QSDĐ; đất nhận chuyển đổi, nhận chuyển nhượng, nhận tặng cho, nhận thừa kế được thế chấp ",Quyền sử dụng đất và tài sản gắn liền với đất,Quyền sử dụng đất,Tài sản gắn liền với đất,Tất cả các trường hợp trên.,1,,
11,"Hộ gia đình, cá nhân được Nhà nước cho thuê đất/thuê lại đất trong khu công nghiệp, cụm công nghiệp, khu chế xuất trả tiền thuê đất hằng năm được thế chấp",Quyền sử dụng đất và tài sản gắn liền với đất,Tài sản gắn liền với đất,Quyền sử dụng đất,Tất cả các trường hợp trên.,2,,
12,"Hộ gia đình, cá nhân thuê lại đất trong khu công nghiệp, cụm công nghiệp, khu chế xuất trả tiền thuê đất một lần cho cả thời gian thuê được thế chấp",Quyền sử dụng đất và tài sản gắn liền với đất,Tài sản gắn liền với đất,Quyền sử dụng đất,Tất cả các trường hợp trên.,1,,
13,Thời hạn có hiệu lực của Giấy biên nhận thế chấp tài sản bảo đảm là phương tiện giao thông do Giám đốc Chi nhánh/PGD quyết định nhưng: ,Không quá 03 tháng,Không quá 06 tháng,Không quá 09 tháng,Không quá 12 tháng,2,Điểm c Khoản 3 Điều 13 Quyết định 2929/QyĐ-NHNo-TD,Rà soát 
14,Một trong những điều kiện nhận tài sản bảo đảm là phương tiện giao thông?,Niên hạn sử dụng còn lại tối thiểu bằng thời gian cấp tín dụng cộng thêm 05 năm,Niên hạn sử dụng còn lại tối thiểu bằng thời gian cấp tín dụng cộng thêm 02 năm,Niên hạn sử dụng còn lại tối thiểu bằng thời gian cấp tín dụng cộng thêm 06 năm,Niên hạn sử dụng còn lại tối thiểu bằng thời gian cấp tín dụng cộng thêm 04 năm,1,Điểm b Khoản 1 Điều 13 Quyết định 2929/QyĐ-NHNo-TD,Bổ sung mới
15,"Agribank chỉ nhận thế chấp cây lâu năm, rừng sản xuất là rừng trồng trong trường hợp nào",khi Agribank cho vay,"khi Agribank cấp tín dụng phục vụ trồng, chăm sóc cây lâu năm, rừng sản xuất là rừng trồng",không nhận loại thế chấp,Nhận cầm cố,2,,
16,Agribank nhận tài sản bảo đảm hình thành trong tương lai trong trường hợp nào,"Khi Agribank cấp tín dụng và nhận làm bảo đảm cho khoản cấp tín dụng hình thành tài sản đó và khoản cấp tín dụng vốn lưu động để khai thác, sử dụng chính tài sản đó",khi cho vay,không nhận thế chấp ,nhận cầm cố,1,,
17,Một trong những điều kiện để nhận tài sản bảo đảm là dự án đầu tư?," Dự án đầu tư phải được lập theo quy định của pháp luật đầu tư, được cơ quan nhà nước có thẩm quyền cấp Giấy chứng nhận đăng ký đầu tư (trừ trường hợp dự án không phải cấp Giấy chứng nhận đăng ký). Đối với dự án đầu tư có sử dụng đất phải có quyết định giao đất/hợp đồng thuê đất hoặc Giấy chứng nhận quyền sử dụng đất theo quy định pháp luật đất đai; trường hợp dự án đang triển khai và đang hoàn thiện thủ tục giao đất thì do Tổng giám đốc quyết định.","Dự án đầu tư phải được lập theo quy định của pháp luật đầu tư, được cơ quan nhà nước có thẩm quyền cấp Giấy chứng nhận đăng ký đầu tư (trừ trường hợp dự án không phải cấp Giấy chứng nhận đăng ký). Đối với dự án đầu tư có sử dụng đất phải có quyết định giao đất","Dự án đầu tư phải được lập theo quy định của pháp luật đầu tư, được cơ quan nhà nước có thẩm quyền cấp Giấy chứng nhận đăng ký đầu tư ","Dự án đầu tư phải được lập theo quy định của pháp luật đầu tư, được cơ quan nhà nước có thẩm quyền cấp Giấy chứng nhận đăng ký đầu tư (trừ trường hợp dự án không phải cấp Giấy chứng nhận đăng ký). ",1,Điểm a Khoản 1 Điều 19 Quyết định 2929/QyĐ-NHNo-TD,Rà soát 
18,Agribank nhận dự án đầu tư xây dựng nhà ở hình thành trong tương lai làm tài sản bảo đảm trong trường hợp nào,Khi Agribank cấp tín dụng để đầu tư cho dự án đó,khi Agribank cho vay vốn lưu động,Agribank không nhận,Agribank chỉ nhận cầm cố,1,,
19,Phạm vi bảo đảm nghĩa vụ (gốc) của cổ phiếu tối đa bằng?,02 lần khối lượng giao dịch bình quân/ngày của 60 phiên giao dịch gần nhất trước ngày HĐBĐ có hiệu lực. ,05 lần khối lượng giao dịch bình quân/ngày của 120 phiên giao dịch gần nhất trước ngày HĐBĐ có hiệu lực. ,04 lần khối lượng giao dịch bình quân/ngày của 80 phiên giao dịch gần nhất trước ngày HĐBĐ có hiệu lực. ,05 lần khối lượng giao dịch bình quân/ngày của 90 phiên giao dịch gần nhất trước ngày HĐBĐ có hiệu lực. ,2,Tiết ii điểm b khoản 2 Điều 26 Quyết định 2929/QyĐ-NHNo-TD,Rà soát 
20,Những ai tham gia vào xác định giá trị tài sản bảo đảm,Người quan hệ khách hàng,"Người thẩm định, tổ thẩm định",Người quyết định cấp tín dụng,Tất cả các trường hợp trên.,4,,
